Progress,Duration (in seconds),Finished,QID2,QID3,QID4,QID5_1,QID5_2,QID5_3,QID5_4,QID5_5,QID5_6,QID5_7,QID5_8,1_,1_.1,1_QID14_1,1_QID22_1,1_QID22_2,1_QID22_3,1_QID22_4,1_QID22_5,1_QID22_6,1_QID22_7,1_QID22_8,1_QID22_9,1_QID25_1,1_QID25_2,1_QID25_3,1_QID25_4,1_QID25_5,1_QID25_6,1__1,1__2,1__3,1__4,1_.2,1_.3,1_.4,2_,2_.1,2_QID14_1,2_QID22_1,2_QID22_2,2_QID22_3,2_QID22_4,2_QID22_5,2_QID22_6,2_QID22_7,2_QID22_8,2_QID22_9,2_QID25_1,2_QID25_2,2_QID25_3,2_QID25_4,2_QID25_5,2_QID25_6,2__1,2__2,2__3,2__4,2_.2,2_.3,2_.4,3_,3_.1,3_QID14_1,3_QID22_1,3_QID22_2,3_QID22_3,3_QID22_4,3_QID22_5,3_QID22_6,3_QID22_7,3_QID22_8,3_QID22_9,3_QID25_1,3_QID25_2,3_QID25_3,3_QID25_4,3_QID25_5,3_QID25_6,3__1,3__2,3__3,3__4,3_.2,3_.3,3_.4,4_,4_.1,4_QID14_1,4_QID22_1,4_QID22_2,4_QID22_3,4_QID22_4,4_QID22_5,4_QID22_6,4_QID22_7,4_QID22_8,4_QID22_9,4_QID25_1,4_QID25_2,4_QID25_3,4_QID25_4,4_QID25_5,4_QID25_6,4__1,4__2,4__3,4__4,4_.2,4_.3,4_.4,5_,5_.1,5_QID14_1,5_QID22_1,5_QID22_2,5_QID22_3,5_QID22_4,5_QID22_5,5_QID22_6,5_QID22_7,5_QID22_8,5_QID22_9,5_QID25_1,5_QID25_2,5_QID25_3,5_QID25_4,5_QID25_5,5_QID25_6,5__1,5__2,5__3,5__4,5_.2,5_.3,5_.4,6_,6_.1,6_QID14_1,6_QID22_1,6_QID22_2,6_QID22_3,6_QID22_4,6_QID22_5,6_QID22_6,6_QID22_7,6_QID22_8,6_QID22_9,6_QID25_1,6_QID25_2,6_QID25_3,6_QID25_4,6_QID25_5,6_QID25_6,6__1,6__2,6__3,6__4,6_.2,6_.3,6_.4,7_,7_.1,7_QID14_1,7_QID22_1,7_QID22_2,7_QID22_3,7_QID22_4,7_QID22_5,7_QID22_6,7_QID22_7,7_QID22_8,7_QID22_9,7_QID25_1,7_QID25_2,7_QID25_3,7_QID25_4,7_QID25_5,7_QID25_6,7__1,7__2,7__3,7__4,7_.2,7_.3,7_.4,8_,8_.1,8_QID14_1,8_QID22_1,8_QID22_2,8_QID22_3,8_QID22_4,8_QID22_5,8_QID22_6,8_QID22_7,8_QID22_8,8_QID22_9,8_QID25_1,8_QID25_2,8_QID25_3,8_QID25_4,8_QID25_5,8_QID25_6,8__1,8__2,8__3,8__4,8_.2,8_.3,8_.4,QID15,QID16,QID17
Progress,Duration (in seconds),Finished,Who are you? - Selected Choice,Where do you live? (Country),Have you used any AI chat model in the past 6 months?,Which have you used in the past 6 months? - Selected Choice - OpenAI (ChatGPT),Which have you used in the past 6 months? - Selected Choice - Anthropic (Claude),Which have you used in the past 6 months? - Selected Choice - Google (Gemini),Which have you used in the past 6 months? - Selected Choice - Meta (Llama),Which have you used in the past 6 months? - Selected Choice - xAI (Grok),Which have you used in the past 6 months? - Selected Choice - DeepSeek,"Which have you used in the past 6 months? - Selected Choice - Mistral AI (Mistral Medium, Le Chat)",Which have you used in the past 6 months? - Selected Choice - Other (please specify),OpenAI (ChatGPT) - Is [model] your first model?,OpenAI (ChatGPT) - How long have you been using [Field-1]?,"Overall, how satisfied are you with [Field-1]? - OpenAI (ChatGPT) - Select your rating",Why did you sign up for [Field-1]? - OpenAI (ChatGPT) - Good value for the price,"Why did you sign up for [Field-1]? - OpenAI (ChatGPT) - High-quality, accurate answers",Why did you sign up for [Field-1]? - OpenAI (ChatGPT) - Can create images/videos; supports multiple input types (multimodal),Why did you sign up for [Field-1]? - OpenAI (ChatGPT) - Easy to use interface (good UI/UX),Why did you sign up for [Field-1]? - OpenAI (ChatGPT) - Fast response speed,Why did you sign up for [Field-1]? - OpenAI (ChatGPT) - Suits my work and tasks well,Why did you sign up for [Field-1]? - OpenAI (ChatGPT) - I heard good things (friends/colleagues/reviews/social media),"Why did you sign up for [Field-1]? - OpenAI (ChatGPT) - I had a discount (student, enterprise, etc.)",Why did you sign up for [Field-1]? - OpenAI (ChatGPT) - Level of censorship aligns with my preferences,How would you rate [Field-1] for the following use cases? - OpenAI (ChatGPT) - Content Creation and Editing,How would you rate [Field-1] for the following use cases? - OpenAI (ChatGPT) - Communication and Support,How would you rate [Field-1] for the following use cases? - OpenAI (ChatGPT) - Learning and Research,How would you rate [Field-1] for the following use cases? - OpenAI (ChatGPT) - Technical and Analytical Tasks,How would you rate [Field-1] for the following use cases? - OpenAI (ChatGPT) - Productivity and Workflow Management,"How would you rate [Field-1] for the following use cases? - OpenAI (ChatGPT) - Business, Marketing, and Strategy",OpenAI (ChatGPT) - Which plan(s) are you on for [Field-1]? - Free,OpenAI (ChatGPT) - Which plan(s) are you on for [Field-1]? - Paid individual,OpenAI (ChatGPT) - Which plan(s) are you on for [Field-1]? - Paid team/enterprise,OpenAI (ChatGPT) - Which plan(s) are you on for [Field-1]? - Unsure,"OpenAI (ChatGPT) - If the price increased by 25%, what would you do?",OpenAI (ChatGPT) - Did you switch to [Field-1] from another AI chat model?,Which model did you switch from? - OpenAI (ChatGPT) - Which model did you switch from? - Selected Choice,Anthropic (Claude) - Is [model] your first model?,Anthropic (Claude) - How long have you been using [Field-1]?,"Overall, how satisfied are you with [Field-1]? - Anthropic (Claude) - Select your rating",Why did you sign up for [Field-1]? - Anthropic (Claude) - Good value for the price,"Why did you sign up for [Field-1]? - Anthropic (Claude) - High-quality, accurate answers",Why did you sign up for [Field-1]? - Anthropic (Claude) - Can create images/videos; supports multiple input types (multimodal),Why did you sign up for [Field-1]? - Anthropic (Claude) - Easy to use interface (good UI/UX),Why did you sign up for [Field-1]? - Anthropic (Claude) - Fast response speed,Why did you sign up for [Field-1]? - Anthropic (Claude) - Suits my work and tasks well,Why did you sign up for [Field-1]? - Anthropic (Claude) - I heard good things (friends/colleagues/reviews/social media),"Why did you sign up for [Field-1]? - Anthropic (Claude) - I had a discount (student, enterprise, etc.)",Why did you sign up for [Field-1]? - Anthropic (Claude) - Level of censorship aligns with my preferences,How would you rate [Field-1] for the following use cases? - Anthropic (Claude) - Content Creation and Editing,How would you rate [Field-1] for the following use cases? - Anthropic (Claude) - Communication and Support,How would you rate [Field-1] for the following use cases? - Anthropic (Claude) - Learning and Research,How would you rate [Field-1] for the following use cases? - Anthropic (Claude) - Technical and Analytical Tasks,How would you rate [Field-1] for the following use cases? - Anthropic (Claude) - Productivity and Workflow Management,"How would you rate [Field-1] for the following use cases? - Anthropic (Claude) - Business, Marketing, and Strategy",Anthropic (Claude) - Which plan(s) are you on for [Field-1]? - Free,Anthropic (Claude) - Which plan(s) are you on for [Field-1]? - Paid individual,Anthropic (Claude) - Which plan(s) are you on for [Field-1]? - Paid team/enterprise,Anthropic (Claude) - Which plan(s) are you on for [Field-1]? - Unsure,"Anthropic (Claude) - If the price increased by 25%, what would you do?",Anthropic (Claude) - Did you switch to [Field-1] from another AI chat model?,Which model did you switch from? - Anthropic (Claude) - Which model did you switch from? - Selected Choice,Google (Gemini) - Is [model] your first model?,Google (Gemini) - How long have you been using [Field-1]?,"Overall, how satisfied are you with [Field-1]? - Google (Gemini) - Select your rating",Why did you sign up for [Field-1]? - Google (Gemini) - Good value for the price,"Why did you sign up for [Field-1]? - Google (Gemini) - High-quality, accurate answers",Why did you sign up for [Field-1]? - Google (Gemini) - Can create images/videos; supports multiple input types (multimodal),Why did you sign up for [Field-1]? - Google (Gemini) - Easy to use interface (good UI/UX),Why did you sign up for [Field-1]? - Google (Gemini) - Fast response speed,Why did you sign up for [Field-1]? - Google (Gemini) - Suits my work and tasks well,Why did you sign up for [Field-1]? - Google (Gemini) - I heard good things (friends/colleagues/reviews/social media),"Why did you sign up for [Field-1]? - Google (Gemini) - I had a discount (student, enterprise, etc.)",Why did you sign up for [Field-1]? - Google (Gemini) - Level of censorship aligns with my preferences,How would you rate [Field-1] for the following use cases? - Google (Gemini) - Content Creation and Editing,How would you rate [Field-1] for the following use cases? - Google (Gemini) - Communication and Support,How would you rate [Field-1] for the following use cases? - Google (Gemini) - Learning and Research,How would you rate [Field-1] for the following use cases? - Google (Gemini) - Technical and Analytical Tasks,How would you rate [Field-1] for the following use cases? - Google (Gemini) - Productivity and Workflow Management,"How would you rate [Field-1] for the following use cases? - Google (Gemini) - Business, Marketing, and Strategy",Google (Gemini) - Which plan(s) are you on for [Field-1]? - Free,Google (Gemini) - Which plan(s) are you on for [Field-1]? - Paid individual,Google (Gemini) - Which plan(s) are you on for [Field-1]? - Paid team/enterprise,Google (Gemini) - Which plan(s) are you on for [Field-1]? - Unsure,"Google (Gemini) - If the price increased by 25%, what would you do?",Google (Gemini) - Did you switch to [Field-1] from another AI chat model?,Which model did you switch from? - Google (Gemini) - Which model did you switch from? - Selected Choice,Meta (Llama) - Is [model] your first model?,Meta (Llama) - How long have you been using [Field-1]?,"Overall, how satisfied are you with [Field-1]? - Meta (Llama) - Select your rating",Why did you sign up for [Field-1]? - Meta (Llama) - Good value for the price,"Why did you sign up for [Field-1]? - Meta (Llama) - High-quality, accurate answers",Why did you sign up for [Field-1]? - Meta (Llama) - Can create images/videos; supports multiple input types (multimodal),Why did you sign up for [Field-1]? - Meta (Llama) - Easy to use interface (good UI/UX),Why did you sign up for [Field-1]? - Meta (Llama) - Fast response speed,Why did you sign up for [Field-1]? - Meta (Llama) - Suits my work and tasks well,Why did you sign up for [Field-1]? - Meta (Llama) - I heard good things (friends/colleagues/reviews/social media),"Why did you sign up for [Field-1]? - Meta (Llama) - I had a discount (student, enterprise, etc.)",Why did you sign up for [Field-1]? - Meta (Llama) - Level of censorship aligns with my preferences,How would you rate [Field-1] for the following use cases? - Meta (Llama) - Content Creation and Editing,How would you rate [Field-1] for the following use cases? - Meta (Llama) - Communication and Support,How would you rate [Field-1] for the following use cases? - Meta (Llama) - Learning and Research,How would you rate [Field-1] for the following use cases? - Meta (Llama) - Technical and Analytical Tasks,How would you rate [Field-1] for the following use cases? - Meta (Llama) - Productivity and Workflow Management,"How would you rate [Field-1] for the following use cases? - Meta (Llama) - Business, Marketing, and Strategy",Meta (Llama) - Which plan(s) are you on for [Field-1]? - Free,Meta (Llama) - Which plan(s) are you on for [Field-1]? - Paid individual,Meta (Llama) - Which plan(s) are you on for [Field-1]? - Paid team/enterprise,Meta (Llama) - Which plan(s) are you on for [Field-1]? - Unsure,"Meta (Llama) - If the price increased by 25%, what would you do?",Meta (Llama) - Did you switch to [Field-1] from another AI chat model?,Which model did you switch from? - Meta (Llama) - Which model did you switch from? - Selected Choice,xAI (Grok) - Is [model] your first model?,xAI (Grok) - How long have you been using [Field-1]?,"Overall, how satisfied are you with [Field-1]? - xAI (Grok) - Select your rating",Why did you sign up for [Field-1]? - xAI (Grok) - Good value for the price,"Why did you sign up for [Field-1]? - xAI (Grok) - High-quality, accurate answers",Why did you sign up for [Field-1]? - xAI (Grok) - Can create images/videos; supports multiple input types (multimodal),Why did you sign up for [Field-1]? - xAI (Grok) - Easy to use interface (good UI/UX),Why did you sign up for [Field-1]? - xAI (Grok) - Fast response speed,Why did you sign up for [Field-1]? - xAI (Grok) - Suits my work and tasks well,Why did you sign up for [Field-1]? - xAI (Grok) - I heard good things (friends/colleagues/reviews/social media),"Why did you sign up for [Field-1]? - xAI (Grok) - I had a discount (student, enterprise, etc.)",Why did you sign up for [Field-1]? - xAI (Grok) - Level of censorship aligns with my preferences,How would you rate [Field-1] for the following use cases? - xAI (Grok) - Content Creation and Editing,How would you rate [Field-1] for the following use cases? - xAI (Grok) - Communication and Support,How would you rate [Field-1] for the following use cases? - xAI (Grok) - Learning and Research,How would you rate [Field-1] for the following use cases? - xAI (Grok) - Technical and Analytical Tasks,How would you rate [Field-1] for the following use cases? - xAI (Grok) - Productivity and Workflow Management,"How would you rate [Field-1] for the following use cases? - xAI (Grok) - Business, Marketing, and Strategy",xAI (Grok) - Which plan(s) are you on for [Field-1]? - Free,xAI (Grok) - Which plan(s) are you on for [Field-1]? - Paid individual,xAI (Grok) - Which plan(s) are you on for [Field-1]? - Paid team/enterprise,xAI (Grok) - Which plan(s) are you on for [Field-1]? - Unsure,"xAI (Grok) - If the price increased by 25%, what would you do?",xAI (Grok) - Did you switch to [Field-1] from another AI chat model?,Which model did you switch from? - xAI (Grok) - Which model did you switch from? - Selected Choice,DeepSeek - Is [model] your first model?,DeepSeek - How long have you been using [Field-1]?,"Overall, how satisfied are you with [Field-1]? - DeepSeek - Select your rating",Why did you sign up for [Field-1]? - DeepSeek - Good value for the price,"Why did you sign up for [Field-1]? - DeepSeek - High-quality, accurate answers",Why did you sign up for [Field-1]? - DeepSeek - Can create images/videos; supports multiple input types (multimodal),Why did you sign up for [Field-1]? - DeepSeek - Easy to use interface (good UI/UX),Why did you sign up for [Field-1]? - DeepSeek - Fast response speed,Why did you sign up for [Field-1]? - DeepSeek - Suits my work and tasks well,Why did you sign up for [Field-1]? - DeepSeek - I heard good things (friends/colleagues/reviews/social media),"Why did you sign up for [Field-1]? - DeepSeek - I had a discount (student, enterprise, etc.)",Why did you sign up for [Field-1]? - DeepSeek - Level of censorship aligns with my preferences,How would you rate [Field-1] for the following use cases? - DeepSeek - Content Creation and Editing,How would you rate [Field-1] for the following use cases? - DeepSeek - Communication and Support,How would you rate [Field-1] for the following use cases? - DeepSeek - Learning and Research,How would you rate [Field-1] for the following use cases? - DeepSeek - Technical and Analytical Tasks,How would you rate [Field-1] for the following use cases? - DeepSeek - Productivity and Workflow Management,"How would you rate [Field-1] for the following use cases? - DeepSeek - Business, Marketing, and Strategy",DeepSeek - Which plan(s) are you on for [Field-1]? - Free,DeepSeek - Which plan(s) are you on for [Field-1]? - Paid individual,DeepSeek - Which plan(s) are you on for [Field-1]? - Paid team/enterprise,DeepSeek - Which plan(s) are you on for [Field-1]? - Unsure,"DeepSeek - If the price increased by 25%, what would you do?",DeepSeek - Did you switch to [Field-1] from another AI chat model?,Which model did you switch from? - DeepSeek - Which model did you switch from? - Selected Choice,"Mistral AI (Mistral Medium, Le Chat) - Is [model] your first model?","Mistral AI (Mistral Medium, Le Chat) - How long have you been using [Field-1]?","Overall, how satisfied are you with [Field-1]? - Mistral AI (Mistral Medium, Le Chat) - Select your rating","Why did you sign up for [Field-1]? - Mistral AI (Mistral Medium, Le Chat) - Good value for the price","Why did you sign up for [Field-1]? - Mistral AI (Mistral Medium, Le Chat) - High-quality, accurate answers","Why did you sign up for [Field-1]? - Mistral AI (Mistral Medium, Le Chat) - Can create images/videos; supports multiple input types (multimodal)","Why did you sign up for [Field-1]? - Mistral AI (Mistral Medium, Le Chat) - Easy to use interface (good UI/UX)","Why did you sign up for [Field-1]? - Mistral AI (Mistral Medium, Le Chat) - Fast response speed","Why did you sign up for [Field-1]? - Mistral AI (Mistral Medium, Le Chat) - Suits my work and tasks well","Why did you sign up for [Field-1]? - Mistral AI (Mistral Medium, Le Chat) - I heard good things (friends/colleagues/reviews/social media)","Why did you sign up for [Field-1]? - Mistral AI (Mistral Medium, Le Chat) - I had a discount (student, enterprise, etc.)","Why did you sign up for [Field-1]? - Mistral AI (Mistral Medium, Le Chat) - Level of censorship aligns with my preferences","How would you rate [Field-1] for the following use cases? - Mistral AI (Mistral Medium, Le Chat) - Content Creation and Editing","How would you rate [Field-1] for the following use cases? - Mistral AI (Mistral Medium, Le Chat) - Communication and Support","How would you rate [Field-1] for the following use cases? - Mistral AI (Mistral Medium, Le Chat) - Learning and Research","How would you rate [Field-1] for the following use cases? - Mistral AI (Mistral Medium, Le Chat) - Technical and Analytical Tasks","How would you rate [Field-1] for the following use cases? - Mistral AI (Mistral Medium, Le Chat) - Productivity and Workflow Management","How would you rate [Field-1] for the following use cases? - Mistral AI (Mistral Medium, Le Chat) - Business, Marketing, and Strategy","Mistral AI (Mistral Medium, Le Chat) - Which plan(s) are you on for [Field-1]? - Free","Mistral AI (Mistral Medium, Le Chat) - Which plan(s) are you on for [Field-1]? - Paid individual","Mistral AI (Mistral Medium, Le Chat) - Which plan(s) are you on for [Field-1]? - Paid team/enterprise","Mistral AI (Mistral Medium, Le Chat) - Which plan(s) are you on for [Field-1]? - Unsure","Mistral AI (Mistral Medium, Le Chat) - If the price increased by 25%, what would you do?","Mistral AI (Mistral Medium, Le Chat) - Did you switch to [Field-1] from another AI chat model?","Which model did you switch from? - Mistral AI (Mistral Medium, Le Chat) - Which model did you switch from? - Selected Choice",Other (please specify) - Is [model] your first model?,Other (please specify) - How long have you been using [Field-1]?,"Overall, how satisfied are you with [Field-1]? - Other (please specify) - Select your rating",Why did you sign up for [Field-1]? - Other (please specify) - Good value for the price,"Why did you sign up for [Field-1]? - Other (please specify) - High-quality, accurate answers",Why did you sign up for [Field-1]? - Other (please specify) - Can create images/videos; supports multiple input types (multimodal),Why did you sign up for [Field-1]? - Other (please specify) - Easy to use interface (good UI/UX),Why did you sign up for [Field-1]? - Other (please specify) - Fast response speed,Why did you sign up for [Field-1]? - Other (please specify) - Suits my work and tasks well,Why did you sign up for [Field-1]? - Other (please specify) - I heard good things (friends/colleagues/reviews/social media),"Why did you sign up for [Field-1]? - Other (please specify) - I had a discount (student, enterprise, etc.)",Why did you sign up for [Field-1]? - Other (please specify) - Level of censorship aligns with my preferences,How would you rate [Field-1] for the following use cases? - Other (please specify) - Content Creation and Editing,How would you rate [Field-1] for the following use cases? - Other (please specify) - Communication and Support,How would you rate [Field-1] for the following use cases? - Other (please specify) - Learning and Research,How would you rate [Field-1] for the following use cases? - Other (please specify) - Technical and Analytical Tasks,How would you rate [Field-1] for the following use cases? - Other (please specify) - Productivity and Workflow Management,"How would you rate [Field-1] for the following use cases? - Other (please specify) - Business, Marketing, and Strategy",Other (please specify) - Which plan(s) are you on for [Field-1]? - Free,Other (please specify) - Which plan(s) are you on for [Field-1]? - Paid individual,Other (please specify) - Which plan(s) are you on for [Field-1]? - Paid team/enterprise,Other (please specify) - Which plan(s) are you on for [Field-1]? - Unsure,"Other (please specify) - If the price increased by 25%, what would you do?",Other (please specify) - Did you switch to [Field-1] from another AI chat model?,Which model did you switch from? - Other (please specify) - Which model did you switch from? - Selected Choice,"What’s one thing your preferred AI chat model does especially well (compared to others you’ve tried, if any)?",What’s one thing that most frustrates you when using AI chat models?,What’s one feature you wish your preferred AI chat model had (or did better)?
100,280,True,Other (please specify),USA,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),Google (Gemini),,,,,,Yes,More than 18 months,Somewhat satisfied,3,3,2,4,4,4,3,4,3,4,4,4,4,4,3,,Paid individual,,,Stop using,No,,No,6–12 months,Neither satisfied nor dissatisfied,3,4,3,3,4,3,3,3,3,4,4,4,3,3,3,Free,,,,,Yes,OpenAI (ChatGPT/GPT-5),No,3–6 months,Neither satisfied nor dissatisfied,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Free,,,,,Yes,OpenAI (ChatGPT/GPT-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chat gpt is generally smarter. Claude does writing tasks well. Gemini, I haven't used it a lot since I am just used to using ChatGPT, therefore I only know so much about it.","Hallucination, context windows
",hallucinate less
100,414,True,Developer / Software Engineer,Germany,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),,,,,,,Yes,12–18 months,Somewhat satisfied,4,3,4,5,5,4,3,1,1,3,3,4,2,4,3,,Paid individual,,,Downgrade,Yes,Anthropic (Claude),No,6–12 months,Somewhat satisfied,2,3,3,3,4,5,4,1,1,4,4,3,5,4,4,Free,,,,,Yes,OpenAI (ChatGPT/GPT-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OpenAI give a good user experience with generous limits and access to all other tools like codex, sora etc. ",They don't learn over time. UX is still not the best. ,
100,369,True,Data Analyst / Data Scientist,Pakistan,Weekly,OpenAI (ChatGPT),,Google (Gemini),Meta (Llama),,,,,Yes,More than 18 months,Neither satisfied nor dissatisfied,3,3,3,4,4,4,2,2,4,3,4,4,5,5,4,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,6–12 months,Somewhat satisfied,3,3,3,3,3,4,3,4,3,4,4,4,4,4,3,Free,,,,,No,,No,3–6 months,Somewhat satisfied,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gemini create better images then gpt,limitation to upload docs or creating images,idk
100,406,True,Researcher / Academic,United States,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),Google (Gemini),,,,,,Yes,3–6 months,Somewhat satisfied,3,4,2,5,5,4,3,5,5,4,4,4,2,4,3,,Paid individual,,,Downgrade,No,,No,3–6 months,Somewhat satisfied,1,2,1,2,5,5,4,1,5,2,3,3,5,2,2,Free,,,Unsure,,No,,No,3–6 months,Neither satisfied nor dissatisfied,3,4,4,3,5,4,3,4,5,3,4,5,3,4,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claude for coding. ChatGPT for research and critical analysis. Gemini for google search.,At times misses instructions ,Ability to give transparency on why it is answering as such. 
100,1153,True,Developer / Software Engineer,United States,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),Google (Gemini),Meta (Llama),,DeepSeek,,,Yes,12–18 months,Somewhat satisfied,5,4,5,4,4,4,4,1,4,5,4,4,3,4,4,,Paid individual,,,Keep plan,No,,No,6–12 months,Somewhat satisfied,5,5,1,4,3,5,4,1,4,2,2,4,5,3,3,,Paid individual,,,Keep plan,No,,No,6–12 months,Somewhat dissatisfied,3,2,2,1,3,1,1,1,5,1,1,3,1,2,2,,Paid individual,,,Stop using,No,,No,3–6 months,Somewhat satisfied,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,3–6 months,Somewhat satisfied,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I’m a software developer so Claude is my go-to for coding and technical tasks since it handles those really well. I use ChatGPT mostly for content creation like writing emails, documents, and also generating illustrations with Sora because it gives me consistent image results. I don’t use Gemini that much, but it’s convenient sometimes since I’m already in the Google ecosystem. For me, ChatGPT stands out because of its versatility in creative and content-focused work.","What frustrates me most is having to switch between different models for different tasks. I use one for coding, another for content, and sometimes another for docs, and it would be nice if one model could handle everything well enough in one place.","I wish my preferred AI model could handle both technical and creative tasks equally well so I wouldn’t have to switch between different models. It would also be great if it could keep context longer and stay more consistent across conversations, so I don’t have to repeat myself or fine-tune prompts as much."
100,269,True,Student,United States of America ,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),Google (Gemini),Meta (Llama),,,,,Yes,More than 18 months,Extremely satisfied,5,3,3,3,4,4,4,1,3,4,4,4,5,5,4,,Paid individual,,,Switch model,No,,No,6–12 months,Extremely satisfied,5,4,3,4,5,4,4,1,5,5,5,5,5,5,5,Free,,,,,No,,No,12–18 months,Somewhat satisfied,5,3,5,5,4,4,4,1,5,4,5,4,3,3,3,Free,,,,,No,,No,3–6 months,Neither satisfied nor dissatisfied,5,3,1,2,3,1,1,1,3,3,3,3,3,3,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summarize content ,Wrong links,Editing videos and images
100,700,True,Researcher / Academic,United States of America ,Daily or almost daily,OpenAI (ChatGPT),Anthropic (Claude),Google (Gemini),,,,,,Yes,More than 18 months,Extremely satisfied,2,4,1,5,3,5,1,1,1,1,5,5,5,5,5,,Paid individual,,,Keep plan,No,,No,Less than 1 month,Somewhat satisfied,1,1,5,5,5,2,1,1,1,5,5,4,5,5,5,Free,,,,,Yes,OpenAI (ChatGPT/GPT-5),No,Less than 1 month,Neither satisfied nor dissatisfied,5,2,4,3,4,2,1,5,1,2,3,3,3,3,3,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"claude is very good at making images, or visualisations. like i recently used to create my slides. chatgpt is well chatgpt. very easy to use interface and ive been using it for 2 years so im used to it.",if theyre being slow at responding or the tokens run out,i wish chatgpt could generate better visualisations
100,785,True,Student,USA,Daily or almost daily,OpenAI (ChatGPT),,Google (Gemini),,,,,,Yes,More than 18 months,Somewhat satisfied,1,5,5,5,3,5,5,1,1,5,5,5,4,4,4,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,More than 18 months,Somewhat dissatisfied,1,1,4,5,5,4,3,1,1,2,2,4,3,4,4,Free,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Speed is sometimes slow, and sometimes assumes information ",I wish  chatgpt was Free
100,1658,True,Student,Pakistan ,Weekly,,,Google (Gemini),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3–6 months,Somewhat satisfied,5,4,3,3,4,4,4,5,4,4,3,4,4,3,3,,,,Unsure,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Understanding of concepts and summarising,Lacks creativity when it comes to giving ideas, Attached links that are actually valid. When it comes to referencing and citations maybe? 
